id,func_id, func_name,subsys_name
1,"KJCEAB4B","Webｵｰﾀﾞｰ取込み時ﾁｪｯｸ","実務者研修"
2,"KJCEAB4C","ＷＥＢ分スクーリング受付番号紐付ファイル削除","実務者研修"
3,"KJCEAB4D","ｺﾝﾀｸﾄｵｰﾀﾞｰ取込み時ﾁｪｯｸ","実務者研修"
4,"KJCEAB4E","実務者研修対象オーダー抽出","実務者研修"
5,"KJCEAB4F","実務者研修web_batch分対象抽出","実務者研修"
6,"KJCEAB4H","実務者研修基幹変換ﾃｰﾌﾞﾙ更新","実務者研修"
7,"KJCEAB4J","実務者研修顧客への連携ﾃﾞｰﾀ作成","実務者研修"
8,"KJCEAB4L","実務者研修参加証データ作成候補抽出","実務者研修"
9,"KJCEAB4M","実務者研修・参加証データ作成","実務者研修"
10,"KJCEAB4N","実務者研修・未材通知はがき作成対象候補抽出","実務者研修"
11,"KJCEAB4P","実務者研修・未材通知はがきデータ作成","実務者研修"
12,"KJCEAB4R","未材解除ﾜｰｸDBｱﾝﾛｰﾄﾞ","実務者研修"
13,"KJCEAB4S","未材解除ﾜｰｸDBｸﾘｱｰ","実務者研修"
14,"KJCEAB4T","スクーリング参加者名簿対象データ抽出","実務者研修"
15,"KJCEAB4U","スクーリング参加者名簿対象データ作成","実務者研修"
16,"KJCEAB4V","基幹変換ワークテーブルから申込顧客と受講生顧客を抽出","実務者研修"
17,"KJCEAB4W","基幹変換ワークテーブル顧客統合（ＦＲＯＭ－ＴＯマッチング）","実務者研修"
18,"KJCEAB4X","基幹変換ワークテーブル更新（顧客統合）","実務者研修"
19,"KJCEAB4Y","特定講座の教育訓練修了証明書受講開始設定","実務者研修"
20,"KJCEAB4Z","実務者研修・オーダー取込チェックデータ作成","実務者研修"
21,"KJCEAB5D","ﾊﾞﾝﾁ分ｵｰﾀﾞｰ取込み時ﾁｪｯｸ","実務者研修"
22,"KJCEAB5F","実務者研修・参加証データ作成用Web_batch分対象抽出","実務者研修"
23,"KJCEAB5H","実務者研修・未材通知はがき作成用web_batch分対象抽出","実務者研修"
24,"KJCEAB5J","カナ姓名抽出変換","実務者研修"
25,"KJCEAB5K","ステータスマスタ・カナ姓名更新","実務者研修"
26,"KJCEAB7A","実務者研修6PS5補足","実務者研修"
27,"KJCEACGD","受講生マスタ・カナ姓名更新","実務者研修"
28,"KJCEACGE","受講生マスタ・メールアドレス更新","実務者研修"
29,"KJCEAD1A","予約対象講座判定","実務者研修"
30,"KJCEAN6M","WEBオーダートランを抽出","実務者研修"
31,"KJCEAN6N","WEBオーダートランにバッチ№を採番","実務者研修"
32,"KJCEAN6P","WEBオーダートランにバッチ№毎の件数を付加","実務者研修"
33,"KJCEAN6Q","WEBオーダートランのレイアウト変換","実務者研修"
34,"KJCEAN6X","累計WEBオーダートラン登録","実務者研修"
35,"KJCEQD1A","予約対象講座判定ORACLE用","実務者研修"
36,"KJCEAQB1","顧客番号ＦＲＯＭ－ＴＯ変換（日次バッチ連携データ）","ココチモ"
37,"KJCEAQB2","アフィニティのセット）","ココチモ"
38,"KJCEAQB3","ココチモ・ノーマライズ）","ココチモ"
39,"KJCEAQB4","ココチモ）エラーデータ有無チェック・ＯＫデータクリア","ココチモ"
40,"KJCEAQB5","住所コードセット１（都道府県、市区郡））","ココチモ"
41,"KJCEAQB6","住所コードセット２（市区郡で再検索）","ココチモ"
42,"KJCEAQB7","ＤＭデータ抽出・振分け","ココチモ"
43,"KJCEAQB8","ＤＭ中止データ抽出","ココチモ"
44,"KJCEAQB9","ステータス変更データ抽出","ココチモ"
