id,func_group_id,func_group_name,list_id,bus_id,bus_name,func_id,func_name,batch_id,batch_name,description,language_type,proc_type,ext_if,comment
1,"KJS","サブシステム",1,"KJSH01","スタート配本","FNKJSH0101","年間配本受付チェック","BTGKJSH0101J01","年間配本受付チェック","・入力パラメータ（受付番号、受付枝番）より、商品教材申込データ　または、オーダー受付エラーデータから年間配本対象オーダー受付情報を取得する
・年間配本用ノーマライズチェックを行い、チェック結果を返却する
・申込数量チェック
・データNoチェック","PL/SQL","ＤＢ更新","",""
2,"KJS","サブシステム",2,"KJSH01","スタート配本","FNKJSH0102","配本引当用講座設定","BTGKJSH0102J01","配本引当用講座設定","・オーダーデータ（処理日＝業務日付）を取得する
・講座商品コードが年間配本対象講座の場合、配本商品(基本)（明細）情報から取得した子講座商品コードをオーダーデータの在庫管理講座コードに設定し更新する
・配本商品（基本）（明細）の子講座商品コードの取得条件は以下
・初回特別配本指定あり　かつ、初回特別配本期間内のオーダーの場合、特別配本で指定されている子講座商品コード
・上記以外でオーダー受付日が受付締日前の場合、オーダー受付月に配本指定されている子講座商品コード
・上記以外でオーダー受付日が受付締日後の場合、オーダー受付月の翌月に配本指定されている子講座商品コード","PL/SQL","ＤＢ更新","",""
3,"KJS","サブシステム",3,"KJSH01","スタート配本","FNKJSH0103","配本受注データ作成","BTGKJSH0103J01","配本受注データ作成","・材発指示データを取得する
・講座商品コードが年間配本対象講座の場合、配本商品(基本)（明細）情報を元に、配本受注（基本）（明細）を登録する
　また、材発指示データの講座商品コードにスタート配本号の子講座商品コードを設定、
　同時配本指定の場合、作業指示書注意喚起区分に「2:複」を設定し更新する","PL/SQL","ＤＢ更新","",""
4,"KJS","サブシステム",4,"KJSH02","まとめ配本","FNKJSH0201","まとめ配本データ抽出","BTGKJSH0201J01","まとめ配本データ抽出","配本受注（明細）より、配本予定日が到来した２回目以降の配本対象データを抽出し、
まとめ配本用材発指示データに登録する
まとめ配本用材発指示データに登録した配本受注（明細）の出力済フラグを出力済に更新する
","PL/SQL","ＤＢ更新","",""
5,"KJS","サブシステム",5,"KJSH02","まとめ配本","FNKJSH0202","まとめ配本用データ作成","BTGKJSH0202J01","まとめ配本用データ作成","まとめ配本用材発指示データの材発データを材発候補ワークデータに登録する","PL/SQL","ＤＢ更新","",""
6,"KJS","サブシステム",6,"KJSH02","まとめ配本","FNKJSH0203","まとめ配本配本日更新","BTGKJSH0203J01","まとめ配本配本日更新","まとめ配本対象について、配本受注（明細）の配本日に業務日付を設定し更新する
まとめ配本用材発指示データのステータスが「2:配本OK」について、「3:配本帳票作成済」に更新する","PL/SQL","ＤＢ更新","",""
7,"KJS","サブシステム",7,"KJSH02","まとめ配本","FNKJSH0204","まとめ配本件数表作成","BTGKJSH0204J01","まとめ配本件数表作成","局出データ、定期送付受注（明細）より、当日配本対象データを抽出し、まとめ配本件数表を作成する
局出データのまとめ配本件数表データ作成区分を「1:作成済み」へ更新する
","PL/SQL","ＤＢ更新","",""
8,"KJS","サブシステム",8,"KJSH02","まとめ配本","FNKJSH0205","まとめ配本用郵便番号別件数表作成","BTGKJSH0205J01","まとめ配本用郵便番号別件数表作成","局出データより、当日配本対象データを抽出し、まとめ配本用郵便番号別件数表を作成する
局出データの郵便番号別件数表データ作成区分を「1:作成済み」へ更新する","PL/SQL","ＤＢ更新","",""
9,"KJS","サブシステム",9,"KJSH02","まとめ配本","FNKJSH0206","局出用帳票データ作成","BTGKJSH0206J01","局出用帳票データ作成","当日配本対象データを抽出し、件数内訳データの集計を行う","PL/SQL","ＤＢ更新","",""
10,"KJS","サブシステム",10,"KJSH03","請求情報連携","FNKJSH0301","配本中止","BTGKJSH0301J01","配本中止","債権講座マスタより、当日発生したHY請求情報を取得し、配本受注（明細）の配本中止フラグを「1:中止」に更新する","PL/SQL","ＤＢ更新","",""
11,"KJS","サブシステム",11,"KJSH03","請求情報連携","FNKJSH0302","配本中止解除","BTGKJSH0302J01","配本中止解除","入金履歴、債権講座マスタより、当日発生した入金情報を取得し、配本受注（明細）の配本中止フラグを「0:中止解除」に更新する
・完納の場合、配本中止明細すべてを中止解除に更新
・一部入金の場合、最も古い配本予定日の配本中止明細を中止解除に更新
","PL/SQL","ＤＢ更新","",""
12,"KJS","サブシステム",12,"KJSH03","請求情報連携","FNKJSH0303","配本中途解約","BTGKJSH0303J01","配本中途解約","<返品による中途解約>
返品履歴より、当日発生した返品情報を取得し、配本受注（明細）の中途解約フラグを「1:解約」に更新する
<請求中止による中途解約>
債権講座マスタより、当日発生した請求中止情報を取得し、配本受注（明細）の中途解約フラグを「1:解約」に更新する
・請求中止コード＝9（永久ストップ）かつ、請求中止事由コード＝A（本人死亡）または、D（中途退学）の場合
","PL/SQL","ＤＢ更新","",""
