id,file,sheet,row,column,content
1,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,1," バッチ処理記述書"
2,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,12,"機能グループID／名"
3,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,19,"業務ID／業務名"
4,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,26,"機能ID／機能名"
5,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,33,"バッチ処理ID/名"
6,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,40,"作成者"
7,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,45,"作成日"
8,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,50,"更新者"
9,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",1,55,"更新日"
10,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,12,"KJB"
11,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,19,"KJBA01"
12,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,26,"FNKJBA0101"
13,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,33,"BTGKJBA0101J01"
14,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,40,"WR劉華"
15,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,45,"2016/11/16"
16,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,50,"WR劉華"
17,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",2,55,"2017/07/19"
18,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",3,12,"勧誘DM管理システム"
19,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",3,19,"A-1処理"
20,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",3,26,"A-1処理"
21,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",3,33,"A-1処理"
22,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",6,1,"処理記述"
23,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",8,8,"入力"
24,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",8,31,"処理"
25,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",8,55,"出力"
26,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",10,15,"<< 機能概要 >>"
27,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",11,16,"A-１DMデータを作成するために、受付完了の未処理リストデータ（データNO：6P11）に対し、"
28,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",12,16,"受付番号（複数明細）単位でＤＭテスト指示マスタを元に統合A-1DMテスト、A-1DMテストを行う。"
29,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",14,15,"<< 機能内容 >>"
30,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",17,16,"1. 未処理のＡ－１処理対象データに対してDMテスト判定を行うために、Ａ－１処理対象データから"
31,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",18,17,"下記条件で未処理Ａ－１処理対象データ（データNO：6P11）の取得を行う。"
32,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",19,17,"Ａ－１処理対象データ.処理済フラグ　＝　「未処理」"
33,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",21,17,"※優先順位は、受付番号、講座３桁コードの昇順"
34,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",23,16,"2. 局出データ＿Ａ１・Ａ１ＦＵＣ・再局出（A-1DM）を作成するために、"
35,"バッチ処理記述書_BTGKJBA0101J01_A-1処理.xlsx","バッチ処理記述書",24,17,"取得した未処理のＡ－１処理対象データに対して、"
