id,file,sheet,row,column,content
1,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,1,"バッチ処理記述書"
2,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,12,"機能グループID／名"
3,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,19,"業務ID／業務名"
4,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,26,"機能ID／機能名"
5,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,33,"バッチ処理ID/名"
6,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,40,"作成者"
7,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,45,"作成日"
8,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,50,"更新者"
9,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",1,55,"更新日"
10,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,12,"KJA"
11,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,19,"KJAB01"
12,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,26,"FNKJAB0101"
13,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,33,"BTGKJAB0101J01"
14,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,40,"WR成石"
15,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,45,"2016/11/15"
16,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,50,"WR肖"
17,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",2,55,"2017/08/02"
18,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",3,12,"リスト・オーダー共通"
19,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",3,19,"受付"
20,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",3,26,"名寄せ"
21,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",3,33,"名寄せ"
22,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",5,1,"処理記述"
23,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",7,8,"入力"
24,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",7,30,"処理"
25,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",7,54,"出力"
26,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",8,16,"<< 機能概要 >>"
27,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",9,17,"・リスト受付データとオーダー受付データの直入分に対して、顧客マスタと名寄せを行い、"
28,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",10,17,"　既顧客か新規顧客か判定する"
29,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",11,17,"　判定できないものは名寄せ指示待ちとする"
30,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",12,17,"・新規顧客は顧客番号を採番し、顧客マスタとステータスＤＢに追加する"
31,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",13,17,"・既顧客（名寄せ結果：該当）の場合"
32,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",14,17,"　・ステータスＤＢに対してブラックチェックを行う"
33,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",15,17,"　　・ブラック該当の場合、受付データをICS該当扱いとする"
34,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",16,17,"　　　また、在庫引当済であれば、在庫マスタに対して在庫引戻しをする"
35,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",17,17,"・名寄せ結果、ブラックチェック結果を受付データに反映する"
36,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",19,16,"<< 機能内容 >>"
37,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",21,17,"1.既顧客、新規顧客を判定するため、以下の条件でリスト受付データ＿ヘッダ、"
38,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",22,17,"　オーダー受付データ＿ヘッダから必要な情報を取得する"
39,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",23,18,"・リスト受付データ＿ヘッダ"
40,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",24,19,"リスト受付データ＿ヘッダ.受付プロセス区分＝「名寄せ」　 　AND"
41,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",25,19,"リスト受付データ＿ヘッダ.名寄せ結果＝「未処理」"
42,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",27,18,"・オーダー受付データ＿ヘッダ"
43,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",28,19,"オーダー受付データ＿ヘッダ.受付プロセス区分＝「名寄せ」　 AND"
44,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",29,19,"("
45,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",30,19,"　オーダー受付データ＿ヘッダ.名寄せ結果＝「未処理」       OR"
46,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",31,19,"　オーダー受付データ＿ヘッダ.進物者名寄せ結果＝「未処理」"
47,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",32,19,")"
48,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",34,18,"※以下のデータも含まれる"
49,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",35,18,"　・名寄せ処理にて指示待ちとなり、「別人」「該当」として指示待ち解除されたデータ"
50,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",36,18,"　　「別人」解除の場合、再度名寄せを行う"
51,"バッチ処理記述書_BTGKJAB0101J01_名寄せ.xlsx","バッチ処理記述書",37,18,"　・名寄せマッチングは不要であるが、強制的に別人として新規顧客登録するデータ"
