id,file,sheet,row,column,content
1,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,1,"バッチ処理記述書"
2,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,12,"機能グループID/名"
3,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,19,"業務ID／業務名"
4,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,26,"機能ID／機能名"
5,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,33,"バッチ処理ID/名"
6,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,40,"作成者"
7,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,45,"作成日"
8,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,50,"更新者"
9,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",1,55,"更新日"
10,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",2,12,"KJS"
11,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",2,19,"KJSH01"
12,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",2,26,"FNKJSH0101"
13,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",2,33,"BTGKJSH0101J01"
14,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",2,40,"WR福永"
15,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",2,45,"2017/03/10"
16,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",3,12,"サブシステム"
17,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",3,19,"スタート配本"
18,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",3,26,"年間配本受付チェック"
19,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",3,33,"年間配本受付チェック"
20,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",5,1,"処理記述"
21,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",7,1,"入力"
22,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",7,15,"処理"
23,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",7,49,"出力"
24,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",9,15,"<< 機能概要 >>"
25,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",10,16,"・入力パラメータ（受付番号、受付枝番）より、オーダー受付データから情報を取得する"
26,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",11,16,"・年間配本用ノーマライズチェックを行い、チェック結果を返却する"
27,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",12,17,"・申込数量チェック"
28,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",13,17,"・データＮＯチェック"
29,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",16,15,"<< 機能内容 >>"
30,"バッチ処理記述書_BTGKJSH0101J01_年間配本受付チェック.xlsx","バッチ処理記述書",18,16,"1. オーダー受付データを取得するために、オーダー受付データ＿ヘッダ、オーダー受付データ＿明細、"
