id,file,sheet,row,column,content
1,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,1,"バッチ処理記述書"
2,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,12,"機能グループID/名"
3,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,19,"業務ID／業務名"
4,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,26,"機能ID／機能名"
5,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,33,"バッチ処理ID/名"
6,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,40,"作成者"
7,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,45,"作成日"
8,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,50,"更新者"
9,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",1,54,"更新日"
10,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,12,"KJD"
11,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,19,"KJDA01"
12,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,26,"FNKJDA0101"
13,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,33,"BTGKJDA0101J01"
14,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,40,"WR曹"
15,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,45,"2016/11/29"
16,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,50,"WR三橋"
17,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",2,54,"2017/07/11"
18,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",3,12,"請求入金管理"
19,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",3,19,"債権データ作成"
20,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",3,26,"債権データ作成"
21,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",3,33,"債権データ作成"
22,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",5,1,"処理記述"
23,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",7,8,"入力"
24,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",7,31,"処理"
25,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",7,60,"出力"
26,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",9,15,"<< 機能概要 >>"
27,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",10,16,"材発対象データより個人債権管理が必要なB-CまたはB-B&個人債権対象を取得し、"
28,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",11,16,"債権講座データ、債権講座分割明細データを作成する。"
29,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",12,16,"債権基本データについては存在しなければ作成する。"
30,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",15,15,"<< 機能内容 >>"
31,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",17,16,"1."
32,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",17,17,"下記項目を取得するために、講座商品ごとに設定されている請求設定を"
33,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",18,17,"汎用コードマスタ＿明細から全件取得する"
34,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",19,17,"・支払期限日インターバル"
35,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",20,17,"・R-1インターバル"
36,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",22,16,"2."
37,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",22,17,"個人債権管理が必要なB-CまたはB-B&個人債権対象を取得するために、"
38,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",23,17,"材発対象データより下記条件のデータを取得する"
39,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",24,17,"検索条件"
40,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",25,18,"材発対象データ.債権作成対象フラグ ＝ 「対象」"
41,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",25,36,"AND"
42,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",26,18,"材発対象データ.債権作成対象処理済フラグ ＝ 「未処理」"
43,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",27,17,"【補足】材発対象データに含まれるデータ"
44,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",28,18,"債権データ作成対象"
45,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",29,19,"・材発対象データ（個人）"
46,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",30,19,"・材発対象データ（法人（個人対象））"
47,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",31,19,"・年間配本（初回）"
48,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",32,18,"債権データ作成対象外"
49,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",33,19,"・材発対象データ（法人）"
50,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",34,19,"・年間配本（2回目以降）"
51,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",35,19,"・社内販売（通信教育）"
52,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",36,19,"・送金手帳再発行データ"
53,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",38,16,"3."
54,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",38,17,"取得したデータごとに債権基本データの作成、"
55,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",39,17,"債権講座データの作成、債権講座分割明細データの作成を繰り返し行う"
56,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",41,17,"3.1"
57,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",41,19,"材発対象データの顧客番号が債権基本データの顧客番号に存在しない場合、債権基本データを登録する"
58,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",42,19,"登録内容は以下を参照"
59,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",43,19,"[DBセット]シートのDBセット名[債権基本データ登録]"
60,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",45,17,"3.2"
61,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",45,19,"債権講座データ作成用に講座マスタより振込手数料負担区分を取得する"
62,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",46,19,"講座運用5桁マスタ.講座商品コード = 対象データの講座商品コード"
63,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",48,17,"3.3"
64,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",48,19,"債権講座データを作成する"
65,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",49,19,"登録内容は以下を参照"
66,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",50,19,"[DBセット]シートのDBセット名[債権講座データ登録]"
67,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",52,17,"3.4"
68,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",52,19,"債権講座分割明細データを作成する"
69,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",53,18,"3.4.1"
70,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",53,20,"分割払い用データを登録する"
71,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",54,20,"分割回次＝1～材発対象データ.分割支払回数分繰り返す"
72,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",55,20,"・材発対象データ.材発予定日および、汎用コードマスタ＿明細より取得（※1）した"
73,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",56,20,"　支払期限日インターバル、R-1インターバルをもとに支払期限日、請求締切日を設定する"
74,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",57,21,"登録内容は以下を参照"
75,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",58,21,"[DBセット]シートのDBセット名[債権講座分割明細データ登録]"
76,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",60,19,"※1."
77,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",60,21,"取得方法は[別紙_請求設定の取得方法]シートを参照"
78,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",62,19,"※2."
79,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",62,21,"入金付オーダーの消込処理は当処理では行わない"
80,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",63,21,"「バッチ処理記述書_BTGKJDB0101J01_入金・調整入金トラン作成（入金付オーダー）」を参照"
81,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",65,17,"3.5"
82,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",65,19,"未処理データの判別を可能とするために、材発対象データの"
83,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",66,19,"債権作成対象処理済フラグを「処理済」に更新する"
84,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",67,20,"更新内容は以下を参照"
85,"バッチ処理記述書_BTGKJDA0101J01_債権データ作成.xlsx","バッチ処理記述書",68,20,"[DBセット]シートのDBセット名[材発対象データ更新]"
86,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,1,"バッチ処理記述書"
87,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,12,"機能グループID/名"
88,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,19,"業務ID／業務名"
89,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,26,"機能ID／機能名"
90,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,33,"バッチ処理ID/名"
91,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,40,"作成者"
92,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,45,"作成日"
93,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,50,"更新者"
94,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",1,55,"更新日"
95,"バッチ処理記述書_BTGKJDA0102J01_合算対象判定.xlsx","バッチ処理記述書",2,12,"KJD"
