id,table,column
1,"ステータス更新データ＿配信","顧客番号"
2,"ステータス更新データ＿配信","ＳＩ１"
3,"ステータス更新データ＿配信","姓名＿姓"
4,"ステータス更新データ＿配信","姓名＿名"
5,"ステータス更新データ＿配信","ＳＯ１"
6,"ステータス更新データ＿配信","郵便番号＿主番"
7,"ステータス更新データ＿配信","郵便番号＿枝番"
8,"ステータス更新データ＿配信","ＳＩ２"
9,"ステータス更新データ＿配信","都道府県名"
10,"ステータス更新データ＿配信","市区郡名"
11,"ステータス更新データ＿配信","町村字"
12,"ステータス更新データ＿配信","番地"
13,"ステータス更新データ＿配信","方書１"
14,"ステータス更新データ＿配信","方書２＿姓"
15,"ステータス更新データ＿配信","方書２＿名"
16,"ステータス更新データ＿配信","ＳＯ２"
17,"ステータス更新データ＿配信","電話番号＿市外局番"
18,"ステータス更新データ＿配信","電話番号＿市内局番"
19,"ステータス更新データ＿配信","電話番号＿個人番号"
20,"ステータス更新データ＿配信","生年月"
21,"ステータス更新データ＿配信","性別"
22,"ステータス更新データ＿配信","法人姓名区分"
23,"ステータス更新データ＿配信","住名変更日"
24,"ステータス更新データ＿配信","ブラック・グレー区分"
25,"ステータス更新データ＿配信","協会入会状況＿書道"
26,"ステータス更新データ＿配信","協会入会状況＿作家"
27,"ステータス更新データ＿配信","協会入会状況＿華道"
28,"ステータス更新データ＿配信","協会入会状況＿園芸"
29,"ステータス更新データ＿配信","雑誌購読状況＿囲碁"
30,"ステータス更新データ＿配信","雑誌購読状況＿水墨画"
31,"ステータス更新データ＿配信","展覧会情報＿総合美術"
32,"ステータス更新データ＿配信","展覧会情報＿写真展覧会"
33,"ステータス更新データ＿配信","技検応募状況＿漢字"
34,"ステータス更新データ＿配信","技検応募状況＿仮名"
35,"ステータス更新データ＿配信","技検応募状況＿ペン"
36,"ステータス更新データ＿配信","技検応募状況＿ボールペン"
37,"ステータス更新データ＿配信","技検応募状況２＿実用ボールペン"
38,"ステータス更新データ＿配信","局戻りカウント"
39,"ステータス更新データ＿配信","リスト講座数"
40,"ステータス更新データ＿配信","全完納講座数"
41,"ステータス更新データ＿配信","返品講座数"
42,"ステータス更新データ＿配信","処理日"
43,"ステータス更新データ＿配信","ソートキー＿都道府県コード"
44,"ステータス更新データ＿配信","ソートキー＿市区郡コード"
45,"ステータス更新データ＿配信","ＳＩ３"
46,"ステータス更新データ＿配信","ソートキー＿町村字"
47,"ステータス更新データ＿配信","ＳＯ３"
48,"ステータス更新データ＿配信","ソートキー＿番地コード上２桁"
49,"ステータス更新データ＿配信","カスタマーバーコード生成情報＿郵便番号部"
50,"ステータス更新データ＿配信","カスタマーバーコード生成情報＿住居表示番号部"
51,"ステータス更新データ＿配信","カスタマーバーコード生成情報＿ＣＤ"
52,"ステータス更新データ＿配信","国家試験合格者フラグ"
53,"ステータス更新データ＿配信","実生年月日"
54,"ステータス更新データ＿配信","カナ＿姓"
55,"ステータス更新データ＿配信","カナ＿名"
56,"ステータス更新データ＿配信","余白"
57,"ステータス更新データ＿配信","作成日時"
58,"ステータス更新データ＿配信","作成ユーザＩＤ"
59,"ステータス更新データ＿配信","更新日時"
60,"ステータス更新データ＿配信","更新ユーザＩＤ"
61,"ステータス更新データ＿配信","削除フラグ"
62,"累計ＷＥＢオーダートラン＿Ａ","受付番号＿ＩＦ用＿１２バイト"
63,"累計ＷＥＢオーダートラン＿Ａ","顧客番号"
64,"累計ＷＥＢオーダートラン＿Ａ","データＮＯ"
65,"累計ＷＥＢオーダートラン＿Ａ","基幹受付日"
66,"累計ＷＥＢオーダートラン＿Ａ","件数"
